evaluation_split,noise_case,feature_case,model_name,target_name,n_samples,rmse_k,mae_k,bias_k
era5_leave_one_profile_out,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14
era5_leave_one_profile_out,baseline_nedt,full_3channel,linear_regression,lower_layer_mean_temperature_k,240,1.3579228821532818,1.06715405201456,-0.00041729361354327923
era5_leave_one_profile_out,baseline_nedt,full_3channel,ridge_regression,lower_layer_mean_temperature_k,240,1.4128312631705808,1.1125054460416075,-7.529353683691417e-05
synthetic_stress_test,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,3,12.68298725331405,11.668567327216826,-0.3760723520208747
synthetic_stress_test,baseline_nedt,full_3channel,linear_regression,lower_layer_mean_temperature_k,3,0.7383348128667128,0.691568583359583,0.3453050361291427
synthetic_stress_test,baseline_nedt,full_3channel,ridge_regression,lower_layer_mean_temperature_k,3,0.5383933302219199,0.4912753262117917,-0.02929615132281545
era5_leave_one_profile_out,baseline_nedt,drop_50_3,mean_baseline,lower_layer_mean_temperature_k,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14
era5_leave_one_profile_out,baseline_nedt,drop_50_3,linear_regression,lower_layer_mean_temperature_k,240,1.3612436262583796,1.0832707477326229,1.4277178689188948e-05
era5_leave_one_profile_out,baseline_nedt,drop_50_3,ridge_regression,lower_layer_mean_temperature_k,240,1.4446946313872242,1.1563218102713528,0.0006099190287734757
synthetic_stress_test,baseline_nedt,drop_50_3,mean_baseline,lower_layer_mean_temperature_k,3,12.68298725331405,11.668567327216826,-0.3760723520208747
synthetic_stress_test,baseline_nedt,drop_50_3,linear_regression,lower_layer_mean_temperature_k,3,0.45519286931703434,0.3837834723753228,0.05357653261690606
synthetic_stress_test,baseline_nedt,drop_50_3,ridge_regression,lower_layer_mean_temperature_k,3,1.7021074903399078,1.474751139364135,-1.0132372969750918
era5_leave_one_profile_out,baseline_nedt,drop_52_8,mean_baseline,lower_layer_mean_temperature_k,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14
era5_leave_one_profile_out,baseline_nedt,drop_52_8,linear_regression,lower_layer_mean_temperature_k,240,1.6048431112728363,1.2135805232885388,-0.0013643171142033357
era5_leave_one_profile_out,baseline_nedt,drop_52_8,ridge_regression,lower_layer_mean_temperature_k,240,1.6509890124857267,1.2858849236782457,-2.670739670402137e-05
synthetic_stress_test,baseline_nedt,drop_52_8,mean_baseline,lower_layer_mean_temperature_k,3,12.68298725331405,11.668567327216826,-0.3760723520208747
synthetic_stress_test,baseline_nedt,drop_52_8,linear_regression,lower_layer_mean_temperature_k,3,3.0124946562963957,2.929374707977748,1.1022984165373373
synthetic_stress_test,baseline_nedt,drop_52_8,ridge_regression,lower_layer_mean_temperature_k,3,1.3886310813427742,1.2751018351729233,0.051976811782329456
era5_leave_one_profile_out,baseline_nedt,drop_54_4,mean_baseline,lower_layer_mean_temperature_k,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14
