profile_index,profile_id,valid_time,latitude,longitude,region_name,sample_group,frequency_ghz,tb_base_k,tb_humid_k,tb_dry_k,dTb_humid_k,dTb_dry_k,nedt_k,humid_ratio,dry_ratio,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,min_h2o_vmr,max_h2o_vmr
0,t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,50.3,271.0910799653781,271.0740912237004,271.10781047662675,-0.016988741677721464,0.01673051124862468,0.3,0.05662913892573822,0.055768370828748935,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,4.652368116917511e-06,0.007384109256861786
0,t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,52.8,259.68189287360923,259.6692927166118,259.6943039222615,-0.01260015699745054,0.012411048652268164,0.5,0.02520031399490108,0.024822097304536328,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,4.652368116917511e-06,0.007384109256861786
0,t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,54.4,230.85686415717507,230.85391532509286,230.85977174223174,-0.0029488320822110836,0.0029075850566755435,0.7,0.004212617260301549,0.004153692938107919,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,4.652368116917511e-06,0.007384109256861786
1,t00_loc01,2020-01-01T00:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,50.3,271.03239470617694,271.0150657664647,271.04945644214763,-0.01732893971222893,0.017061735970685277,0.3,0.057763132374096436,0.05687245323561759,278.3447265625,196.25460815429688,278.3447265625,238.74166581437393,4.64946695230074e-06,0.007328404064078214
1,t00_loc01,2020-01-01T00:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,52.8,259.62735777581145,259.6146440122744,259.639878533982,-0.012713763537021805,0.012520758170580848,0.5,0.02542752707404361,0.025041516341161696,278.3447265625,196.25460815429688,278.3447265625,238.74166581437393,4.64946695230074e-06,0.007328404064078214
1,t00_loc01,2020-01-01T00:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,54.4,230.8609973511999,230.85809685737067,230.8638571765278,-0.0029004938292302995,0.002859825327902854,0.7,0.004143562613186142,0.004085464754146935,278.3447265625,196.25460815429688,278.3447265625,238.74166581437393,4.64946695230074e-06,0.007328404064078214
2,t00_loc02,2020-01-01T00:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,50.3,270.82359603362175,270.8053007251356,270.841599046483,-0.018295308486131034,0.01800301286124295,0.3,0.060984361620436786,0.06001004287080984,278.2158203125,195.20675659179688,278.2158203125,238.3873583819415,4.640716665536151e-06,0.007025960998650036
2,t00_loc02,2020-01-01T00:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,52.8,259.396264826255,259.3834164604989,259.40891295690227,-0.012848365756099156,0.012648130647278322,0.5,0.025696731512198312,0.025296261294556643,278.2158203125,195.20675659179688,278.2158203125,238.3873583819415,4.640716665536151e-06,0.007025960998650036
2,t00_loc02,2020-01-01T00:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,54.4,230.85703210835194,230.8543837678865,230.85964338112666,-0.002648340465441379,0.0026112727747147346,0.7,0.003783343522059113,0.0037303896781639067,278.2158203125,195.20675659179688,278.2158203125,238.3873583819415,4.640716665536151e-06,0.007025960998650036
3,t00_loc03,2020-01-01T00:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,50.3,270.84832559858273,270.83045433582765,270.86591472829235,-0.017871262755079442,0.01758912970962001,0.3,0.05957087585026481,0.05863043236540004,278.1865234375,195.66867065429688,278.1865234375,238.49892404917125,4.643711416075878e-06,0.007168273036108604
