profile_index,profile_id,valid_time,latitude,longitude,region_name,source_name,climate_regime,surface_type,season_label,sample_group,frequency_ghz,tb_base_k,dTb_lower_k,dTb_upper_k,nedt_k,lower_ratio,upper_ratio,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,lower_layer_mean_temperature_k,upper_layer_mean_temperature_k,mean_h2o_vmr,lower_layer_mean_h2o_vmr,upper_layer_mean_h2o_vmr,min_h2o_vmr,max_h2o_vmr
0,winter_midlatitude_maritime_sample_t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc00,50.3,271.0910799653781,0.1432355430148391,0.09212179395791509,0.3,0.4774518100494637,0.30707264652638366,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,275.33778889973956,210.44625769721137,0.0012194468869418708,0.002797791536361947,1.3925728885833188e-05,4.652368116917511e-06,0.007384109256861786
0,winter_midlatitude_maritime_sample_t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc00,52.8,259.68189287360923,0.24969317957004478,0.185975968701257,0.5,0.49938635914008955,0.371951937402514,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,275.33778889973956,210.44625769721137,0.0012194468869418708,0.002797791536361947,1.3925728885833188e-05,4.652368116917511e-06,0.007384109256861786
0,winter_midlatitude_maritime_sample_t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc00,54.4,230.85686415717507,0.10099438423117135,0.49071869815404057,0.7,0.14427769175881622,0.7010267116486294,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,275.33778889973956,210.44625769721137,0.0012194468869418708,0.002797791536361947,1.3925728885833188e-05,4.652368116917511e-06,0.007384109256861786
1,winter_midlatitude_maritime_sample_t00_loc01,2020-01-01T00:00:00.000000000,58.0,10.25,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc01,50.3,271.03239470617694,0.14432101854339408,0.09201313824814861,0.3,0.4810700618113136,0.306710460827162,278.3447265625,196.25460815429688,278.3447265625,238.74166581437393,275.10455322265625,210.3559799194336,0.0012631046141454944,0.0029327192059777625,1.359344298548573e-05,4.64946695230074e-06,0.007328404064078214
1,winter_midlatitude_maritime_sample_t00_loc01,2020-01-01T00:00:00.000000000,58.0,10.25,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc01,52.8,259.62735777581145,0.25029297688632823,0.1857997712667725,0.5,0.5005859537726565,0.371599542533545,278.3447265625,196.25460815429688,278.3447265625,238.74166581437393,275.10455322265625,210.3559799194336,0.0012631046141454944,0.0029327192059777625,1.359344298548573e-05,4.64946695230074e-06,0.007328404064078214
1,winter_midlatitude_maritime_sample_t00_loc01,2020-01-01T00:00:00.000000000,58.0,10.25,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc01,54.4,230.8609973511999,0.10102148543748513,0.4906286643059161,0.7,0.1443164077678359,0.7008980918655945,278.3447265625,196.25460815429688,278.3447265625,238.74166581437393,275.10455322265625,210.3559799194336,0.0012631046141454944,0.0029327192059777625,1.359344298548573e-05,4.64946695230074e-06,0.007328404064078214
2,winter_midlatitude_maritime_sample_t00_loc02,2020-01-01T00:00:00.000000000,57.75,10.0,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc02,50.3,271.1554842023521,0.14463631442225733,0.09201974729580797,0.3,0.4821210480741911,0.3067324909860266,278.4755859375,195.99972534179688,278.4755859375,239.01407396471177,275.07021077473956,210.87833234998914,0.0012571512475558274,0.002967552310651183,1.3422540005567651e-05,4.660042165309122e-06,0.007941372597262417
2,winter_midlatitude_maritime_sample_t00_loc02,2020-01-01T00:00:00.000000000,57.75,10.0,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc02,52.8,259.7348406648698,0.2505381953766914,0.1857960197824582,0.5,0.5010763907533828,0.3715920395649164,278.4755859375,195.99972534179688,278.4755859375,239.01407396471177,275.07021077473956,210.87833234998914,0.0012571512475558274,0.002967552310651183,1.3422540005567651e-05,4.660042165309122e-06,0.007941372597262417
2,winter_midlatitude_maritime_sample_t00_loc02,2020-01-01T00:00:00.000000000,57.75,10.0,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc02,54.4,230.95747040808334,0.10100638471291745,0.4907169606261448,0.7,0.14429483530416778,0.7010242294659211,278.4755859375,195.99972534179688,278.4755859375,239.01407396471177,275.07021077473956,210.87833234998914,0.0012571512475558274,0.002967552310651183,1.3422540005567651e-05,4.660042165309122e-06,0.007941372597262417
3,winter_midlatitude_maritime_sample_t00_loc03,2020-01-01T00:00:00.000000000,57.75,10.25,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc03,50.3,271.08125194063985,0.14570449541793096,0.09190615652494216,0.3,0.4856816513931032,0.30635385508314056,278.4111328125,195.85519409179688,278.4111328125,238.92209233464422,274.80898030598956,210.84143998887805,0.0012963164425421252,0.00308576791772963,1.2985441780542348e-05,4.656860242796393e-06,0.007819825449653378
