profile_index,profile_id,valid_time,latitude,longitude,region_name,sample_group,frequency_ghz,tb_true_k,tb_obs_k,noise_k,nedt_k,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,min_h2o_vmr,max_h2o_vmr
0,t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,50.3,271.0910799653781,270.74381507124207,-0.3472648941360353,0.3,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,4.652368116917511e-06,0.007384109256861786
0,t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,52.8,259.68189287360923,259.8267707747731,0.1448779011638757,0.5,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,4.652368116917511e-06,0.007384109256861786
0,t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,54.4,230.85686415717507,231.40346200563263,0.5465978484575689,0.7,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,4.652368116917511e-06,0.007384109256861786
1,t00_loc01,2020-01-01T00:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,50.3,271.03239470617694,270.79534895618804,-0.23704574998890438,0.3,278.3447265625,196.25460815429688,278.3447265625,238.74166581437393,4.64946695230074e-06,0.007328404064078214
1,t00_loc01,2020-01-01T00:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,52.8,259.62735777581145,258.6100450348955,-1.0173127409159364,0.5,278.3447265625,196.25460815429688,278.3447265625,238.74166581437393,4.64946695230074e-06,0.007328404064078214
1,t00_loc01,2020-01-01T00:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,54.4,230.8609973511999,231.28330857404723,0.42231122284733524,0.7,278.3447265625,196.25460815429688,278.3447265625,238.74166581437393,4.64946695230074e-06,0.007328404064078214
2,t00_loc02,2020-01-01T00:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,50.3,270.82359603362175,271.0113148530989,0.18771881947714522,0.3,278.2158203125,195.20675659179688,278.2158203125,238.3873583819415,4.640716665536151e-06,0.007025960998650036
2,t00_loc02,2020-01-01T00:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,52.8,259.396264826255,260.4784275057313,1.082162679476333,0.5,278.2158203125,195.20675659179688,278.2158203125,238.3873583819415,4.640716665536151e-06,0.007025960998650036
2,t00_loc02,2020-01-01T00:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,54.4,230.85703210835194,231.52591049943894,0.6688783910869952,0.7,278.2158203125,195.20675659179688,278.2158203125,238.3873583819415,4.640716665536151e-06,0.007025960998650036
3,t00_loc03,2020-01-01T00:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,50.3,270.84832559858273,271.1793300073328,0.3310044087500723,0.3,278.1865234375,195.66867065429688,278.1865234375,238.49892404917125,4.643711416075878e-06,0.007168273036108604
3,t00_loc03,2020-01-01T00:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,52.8,259.45931671809524,258.8194246561077,-0.6398920619875567,0.5,278.1865234375,195.66867065429688,278.1865234375,238.49892404917125,4.643711416075878e-06,0.007168273036108604
3,t00_loc03,2020-01-01T00:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,54.4,230.86224957405005,231.31595628625692,0.45370671220685543,0.7,278.1865234375,195.66867065429688,278.1865234375,238.49892404917125,4.643711416075878e-06,0.007168273036108604
4,t00_loc04,2020-01-01T00:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,50.3,270.6441702550902,270.8128052514966,0.16863499640643553,0.3,277.7451171875,195.64035034179688,277.7451171875,239.19035628035263,4.651572636295742e-06,0.007192251989745268
4,t00_loc04,2020-01-01T00:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,52.8,259.5407036544562,259.82080391419294,0.2801002597367479,0.5,277.7451171875,195.64035034179688,277.7451171875,239.19035628035263,4.651572636295742e-06,0.007192251989745268
4,t00_loc04,2020-01-01T00:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,54.4,231.24059399086295,230.80487428310437,-0.43571970775858726,0.7,277.7451171875,195.64035034179688,277.7451171875,239.19035628035263,4.651572636295742e-06,0.007192251989745268
