profile_index,profile_id,valid_time,latitude,longitude,sample_group,frequency_ghz,tb_base_k,tb_warm_k,dTb_dT,nedt_k,sensitivity_to_noise_ratio,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,min_h2o_vmr,max_h2o_vmr
0,t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,loc00,50.3,271.0910799653781,271.4769722211868,0.3858922558086988,0.3,1.2863075193623295,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,4.652368116917511e-06,0.007384109256861786
0,t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,loc00,52.8,259.68189287360923,260.43782732019184,0.7559344465826143,0.5,1.5118688931652287,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,4.652368116917511e-06,0.007384109256861786
0,t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,loc00,54.4,230.85686415717507,231.8644840211971,1.0076198640220184,0.7,1.4394569486028836,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464422,4.652368116917511e-06,0.007384109256861786
1,t00_loc01,2020-01-01T00:00:00.000000000,57.75,10.0,loc01,50.3,271.1554842023521,271.54176152205895,0.386277319706835,0.3,1.28759106568945,278.4755859375,195.99972534179688,278.4755859375,239.01407396471177,4.660042165309122e-06,0.007941372597262417
1,t00_loc01,2020-01-01T00:00:00.000000000,57.75,10.0,loc01,52.8,259.7348406648698,260.4906166260364,0.7557759611665915,0.5,1.511551922333183,278.4755859375,195.99972534179688,278.4755859375,239.01407396471177,4.660042165309122e-06,0.007941372597262417
1,t00_loc01,2020-01-01T00:00:00.000000000,57.75,10.0,loc01,54.4,230.95747040808334,231.96485938997643,1.0073889818930866,0.7,1.4391271169901239,278.4755859375,195.99972534179688,278.4755859375,239.01407396471177,4.660042165309122e-06,0.007941372597262417
2,t00_loc02,2020-01-01T00:00:00.000000000,57.5,10.0,loc02,50.3,271.121462845238,271.50851004373544,0.3870471984974415,0.3,1.2901573283248051,278.4423828125,195.80831909179688,278.4423828125,239.07934529072529,4.6593870636142945e-06,0.007896467699225598
2,t00_loc02,2020-01-01T00:00:00.000000000,57.5,10.0,loc02,52.8,259.72877607728407,260.4844859339855,0.7557098567014577,0.5,1.5114197134029155,278.4423828125,195.80831909179688,278.4423828125,239.07934529072529,4.6593870636142945e-06,0.007896467699225598
2,t00_loc02,2020-01-01T00:00:00.000000000,57.5,10.0,loc02,54.4,231.0632449229995,232.07037084407236,1.0071259210728556,0.7,1.4387513158183651,278.4423828125,195.80831909179688,278.4423828125,239.07934529072529,4.6593870636142945e-06,0.007896467699225598
3,t00_loc03,2020-01-01T00:00:00.000000000,57.5,11.0,loc03,50.3,270.9305981660374,271.31970979770614,0.3891116316687544,0.3,1.2970387722291814,278.3564453125,195.15499877929688,278.3564453125,238.84056256268477,4.649747710166422e-06,0.007182196212816303
3,t00_loc03,2020-01-01T00:00:00.000000000,57.5,11.0,loc03,52.8,259.47622929030763,260.2324990209619,0.7562697306542532,0.5,1.5125394613085064,278.3564453125,195.15499877929688,278.3564453125,238.84056256268477,4.649747710166422e-06,0.007182196212816303
3,t00_loc03,2020-01-01T00:00:00.000000000,57.5,11.0,loc03,54.4,231.02097555131044,232.02766130799594,1.0066857566854992,0.7,1.4381225095507133,278.3564453125,195.15499877929688,278.3564453125,238.84056256268477,4.649747710166422e-06,0.007182196212816303
4,t00_loc04,2020-01-01T00:00:00.000000000,57.25,11.0,loc04,50.3,270.7977893700221,271.18613164358555,0.38834227356346673,0.3,1.2944742452115559,278.1611328125,195.24191284179688,278.1611328125,238.9946746826172,4.649373366345535e-06,0.007004307017785948
4,t00_loc04,2020-01-01T00:00:00.000000000,57.25,11.0,loc04,52.8,259.4218337882921,260.17740519176175,0.7555714034696734,0.5,1.5111428069393469,278.1611328125,195.24191284179688,278.1611328125,238.9946746826172,4.649373366345535e-06,0.007004307017785948
4,t00_loc04,2020-01-01T00:00:00.000000000,57.25,11.0,loc04,54.4,231.07815745748906,232.0847123570447,1.0065548995556526,0.7,1.4379355707937895,278.1611328125,195.24191284179688,278.1611328125,238.9946746826172,4.649373366345535e-06,0.007004307017785948
5,t00_loc05,2020-01-01T00:00:00.000000000,57.0,11.0,loc05,50.3,270.6531155931127,271.04051369356563,0.3873981004529128,0.3,1.2913270015097094,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,4.647595233198703e-06,0.006761512857011655
5,t00_loc05,2020-01-01T00:00:00.000000000,57.0,11.0,loc05,52.8,259.3616455811308,260.11641722978595,0.7547716486551508,0.5,1.5095432973103016,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,4.647595233198703e-06,0.006761512857011655
5,t00_loc05,2020-01-01T00:00:00.000000000,57.0,11.0,loc05,54.4,231.13162609235036,232.13803267634123,1.0064065839908665,0.7,1.4377236914155236,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,4.647595233198703e-06,0.006761512857011655
6,t01_loc00,2020-01-01T06:00:00.000000000,58.0,10.0,loc00,50.3,271.4641017831268,271.84024337973244,0.37614159660563473,0.3,1.2538053220187826,278.3331298828125,193.97393798828125,278.947509765625,239.43668262378588,4.659125315392628e-06,0.0070598327594999484
6,t01_loc00,2020-01-01T06:00:00.000000000,58.0,10.0,loc00,52.8,260.4460682415464,261.19733895189347,0.7512707103470575,0.5,1.502541420694115,278.3331298828125,193.97393798828125,278.947509765625,239.43668262378588,4.659125315392628e-06,0.0070598327594999484
6,t01_loc00,2020-01-01T06:00:00.000000000,58.0,10.0,loc00,54.4,231.3103684908179,232.3184402967422,1.0080718059243168,0.7,1.4401025798918812,278.3331298828125,193.97393798828125,278.947509765625,239.43668262378588,4.659125315392628e-06,0.0070598327594999484
7,t01_loc01,2020-01-01T06:00:00.000000000,57.75,10.0,loc01,50.3,271.4920327575872,271.8690324223242,0.3769996647370135,0.3,1.2566655491233785,278.3878173828125,193.86456298828125,278.7308349609375,239.56384689743453,4.6639449921583385e-06,0.0071139725237320366
7,t01_loc01,2020-01-01T06:00:00.000000000,57.75,10.0,loc01,52.8,260.45863820020435,261.2101536082954,0.751515408091052,0.5,1.503030816182104,278.3878173828125,193.86456298828125,278.7308349609375,239.56384689743453,4.6639449921583385e-06,0.0071139725237320366
7,t01_loc01,2020-01-01T06:00:00.000000000,57.75,10.0,loc01,54.4,231.35474295804914,232.36269070828553,1.007947750236383,0.7,1.439925357480547,278.3878173828125,193.86456298828125,278.7308349609375,239.56384689743453,4.6639449921583385e-06,0.0071139725237320366
8,t01_loc02,2020-01-01T06:00:00.000000000,57.5,10.0,loc02,50.3,271.3920180566945,271.76945199068797,0.3774339339934727,0.3,1.2581131133115757,278.2608642578125,193.98175048828125,278.5159912109375,239.66915728594805,4.66539557449154e-06,0.007380083557481599
