profile_index,profile_id,valid_time,latitude,longitude,region_name,source_name,climate_regime,surface_type,season_label,sample_group,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,lower_layer_mean_temperature_k,upper_layer_mean_temperature_k,mean_h2o_vmr,lower_layer_mean_h2o_vmr,upper_layer_mean_h2o_vmr,min_h2o_vmr,max_h2o_vmr,evaluation_split,profile_class,noise_case,feature_case,model_name,target_name,y_true_k,y_pred_k,residual_k,tb_obs_50_3,tb_obs_52_8,tb_obs_54_4,tb_obs_degraded_50_3,tb_obs_degraded_52_8,tb_obs_degraded_54_4
0,winter_midlatitude_maritime_sample_t00_loc00,2020-01-01T00:00:00.000000000,58.0,10.0,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc00,278.3916015625,196.34347534179688,278.5409240722656,238.85177983464425,275.3377888997396,210.44625769721137,0.0012194468869418,0.0027977915363619,1.3925728885833188e-05,4.652368116917511e-06,0.0073841092568617,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,275.3377888997396,277.2846432556833,1.9468543559436853,270.74381507124207,259.8267707747731,231.40346200563263,,,
1,winter_midlatitude_maritime_sample_t00_loc01,2020-01-01T00:00:00.000000000,58.0,10.25,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc01,278.3447265625,196.25460815429688,278.3447265625,238.74166581437396,275.10455322265625,210.3559799194336,0.0012631046141454,0.0029327192059777,1.359344298548573e-05,4.64946695230074e-06,0.0073284040640782,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,275.10455322265625,277.28561913717743,2.1810659145211844,270.79534895618804,258.6100450348955,231.28330857404725,,,
2,winter_midlatitude_maritime_sample_t00_loc02,2020-01-01T00:00:00.000000000,57.75,10.0,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc02,278.4755859375,195.99972534179688,278.4755859375,239.01407396471177,275.0702107747396,210.87833234998917,0.0012571512475558,0.0029675523106511,1.3422540005567653e-05,4.660042165309122e-06,0.0079413725972624,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,275.0702107747396,277.28576282942805,2.2155520546884304,271.34320302182925,260.8170033443461,231.62634879917036,,,
3,winter_midlatitude_maritime_sample_t00_loc03,2020-01-01T00:00:00.000000000,57.75,10.25,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc03,278.4111328125,195.85519409179688,278.4111328125,238.92209233464425,274.8089803059896,210.84143998887805,0.0012963164425421,0.0030857679177296,1.2985441780542348e-05,4.656860242796393e-06,0.0078198254496533,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,274.8089803059896,277.2868558439417,2.477875537952059,271.4122563493899,259.0292889741964,231.41631447535903,,,
4,winter_midlatitude_maritime_sample_t00_loc04,2020-01-01T00:00:00.000000000,58.0,10.5,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc04,278.2451171875,196.02902221679688,278.2451171875,238.62165420119828,274.8045857747396,210.28756629096137,0.0013081754247184,0.0030728454430426,1.3298612412529624e-05,4.6466125806718776e-06,0.0072920430248552,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,274.8045857747396,277.2868742311017,2.4822884563620846,271.09705628778914,259.82221669432874,230.42736601048705,,,
5,winter_midlatitude_maritime_sample_t00_loc05,2020-01-01T00:00:00.000000000,58.0,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc00,278.2158203125,195.20675659179688,278.2158203125,238.3873583819415,274.10699462890625,210.2410168117947,0.0013613843410022,0.0032948819362474,1.1950106785792003e-05,4.640716665536151e-06,0.00702596099865,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,274.10699462890625,277.2897930225069,3.182798393600649,270.804559771316,260.020871381347,232.24863995037347,,,
6,winter_midlatitude_maritime_sample_t00_loc06,2020-01-01T00:00:00.000000000,58.0,10.75,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc01,278.1865234375,195.66867065429688,278.1865234375,238.49892404917125,274.45871988932294,210.24714745415585,0.0013364625590213,0.003190657471104,1.2620634924246438e-05,4.643711416075878e-06,0.0071682730361086,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,274.45871988932294,277.2883213686976,2.8296014793746735,271.1131113877248,259.621443611076,231.2067365895716,,,
7,winter_midlatitude_maritime_sample_t00_loc07,2020-01-01T00:00:00.000000000,57.75,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc02,278.3623046875,195.12570190429688,278.3623046875,238.6355900120091,273.94049072265625,210.80709754096137,0.0013626669897789,0.0033221694477972,1.1235653935096528e-05,4.6472208893788186e-06,0.0072943638933367,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,273.94049072265625,277.2904896915707,3.3499989689144627,271.0467927590395,258.52315740724885,230.91763126733483,,,
8,winter_midlatitude_maritime_sample_t00_loc08,2020-01-01T00:00:00.000000000,57.75,10.75,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc03,278.2900390625,195.42062377929688,278.2900390625,238.72580327214425,274.22271728515625,210.80281151665585,0.0013487938845508,0.0032620549817696,1.1892884546418056e-05,4.650449604831054e-06,0.0074963049878814,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,274.22271728515625,277.2893088272925,3.066591542136223,271.80182591452,259.53824847742806,232.36835453768416,,,
9,winter_midlatitude_maritime_sample_t00_loc09,2020-01-01T00:00:00.000000000,57.5,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc04,278.3564453125,195.15499877929688,278.3564453125,238.8405625626848,273.77854410807294,211.29993608262805,0.0013597884037873,0.0033369916085299,1.0707339763102226e-05,4.649747710166422e-06,0.0071821962128163,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,273.77854410807294,277.2911672924685,3.5126231843955793,271.1805402700427,260.03512773646105,231.0215352972005,,,
